,Ticker,Name,Industry,SubIndustry,IPODate
88,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22
89,CARR,Carrier Global,Industrials,Building Products,2020-04-03
90,CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21
91,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1957-03-04
92,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01
93,CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10
94,CDW,CDW,Information Technology,Technology Distributors,2019-09-23
95,CE,Celanese,Materials,Specialty Chemicals,2018-12-24
96,COR,Cencora,Health Care,Health Care Distributors,2001-08-30
97,CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30
98,CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31
99,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27
100,CHRW,CH Robinson,Industrials,Air Freight & Logistics,2007-03-02
101,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,2021-05-14
102,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02
103,CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08
104,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1957-03-04
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28
106,CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15
107,CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29
108,CI,Cigna,Health Care,Health Care Services,1976-06-30
109,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18
110,CTAS,Cintas,Industrials,Diversified Support Services,2001-03-01
111,CSCO,Cisco,Information Technology,Communications Equipment,1993-12-01
112,C,Citigroup,Financials,Diversified Banks,1988-05-31
113,CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29
114,CLX,Clorox,Consumer Staples,Household Products,1969-03-31
115,CME,CME Group,Financials,Financial Exchanges & Data,2006-08-11
116,CMS,CMS Energy,Utilities,Multi-Utilities,1957-03-04
117,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1957-03-04
118,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006-11-17
119,CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04
120,CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19
121,CMA,Comerica,Financials,Diversified Banks,1995-12-01
122,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31
123,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04
124,ED,Consolidated Edison,Utilities,Multi-Utilities,1957-03-04
125,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01
126,CEG,Constellation Energy,Utilities,Electric Utilities,2022-02-02
127,COO,CooperCompanies,Health Care,Health Care Supplies,2016-09-23
128,CPRT,Copart,Industrials,Diversified Support Services,2018-07-02
129,GLW,Corning Inc.,Information Technology,Electronic Components,1995-02-27
130,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2018-06-20
131,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03
132,CSGP,CoStar Group,Real Estate,Real Estate Services,2022-09-19
133,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1993-10-01
134,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2008-06-23
135,CCI,Crown Castle,Real Estate,Telecom Tower REITs,2012-03-14
136,CSX,CSX,Industrials,Rail Transportation,1957-03-04
137,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,1965-03-31
138,CVS,CVS Health,Health Care,Health Care Services,1957-03-04
139,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,1998-11-18
140,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1995-05-31
141,DVA,DaVita Inc.,Health Care,Health Care Services,2008-07-31
142,DAY,Dayforce,Industrials,Human Resource & Employment Services,2021-09-20
143,DECK,Deckers Brands,Consumer Discretionary,Footwear,2024-03-18
144,DE,John Deere,Industrials,Agricultural & Farm Machinery,1957-03-04
145,DAL,Delta Air Lines,Industrials,Passenger Airlines,2013-09-11
146,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000-08-30
147,DXCM,Dexcom,Health Care,Health Care Equipment,2020-05-12
148,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2018-12-03
149,DLR,Digital Realty,Real Estate,Data Center REITs,2016-05-18
150,DFS,Discover Financial,Financials,Consumer Finance,2007-07-02
151,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,2012-12-03
152,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2011-12-19
153,D,Dominion Energy,Utilities,Multi-Utilities,2016-11-30
154,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-05-12
155,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,1985-10-31
156,DOW,Dow Inc.,Materials,Commodity Chemicals,2019-04-01
157,DHI,DR Horton,Consumer Discretionary,Homebuilding,2005-06-22
158,DTE,DTE Energy,Utilities,Multi-Utilities,1957-03-04
159,DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30
160,DD,DuPont,Materials,Specialty Chemicals,2019-04-02
161,EMN,Eastman Chemical Company,Materials,Specialty Chemicals,1994-01-01
162,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1957-03-04
163,EBAY,eBay,Consumer Discretionary,Broadline Retail,2002-07-22
164,ECL,Ecolab,Materials,Specialty Chemicals,1989-01-31
165,EIX,Edison International,Utilities,Electric Utilities,1957-03-04
166,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01
167,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22
168,ELV,Elevance Health,Health Care,Managed Health Care,2002-07-25
169,LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,1970-12-31
170,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,1965-03-31
171,ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment,2021-01-07
172,ETR,Entergy,Utilities,Electric Utilities,1957-03-04
173,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02
174,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-12-14
175,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2022-10-03
176,EFX,Equifax,Industrials,Research & Consulting Services,1997-06-19
177,EQIX,Equinix,Real Estate,Data Center REITs,2015-03-20
178,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2001-12-03
179,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2014-04-02
180,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,2006-01-05
181,ETSY,Etsy,Consumer Discretionary,Broadline Retail,2020-09-21
182,EG,Everest Re,Financials,Reinsurance,2017-06-19
183,EVRG,Evergy,Utilities,Electric Utilities,2018-06-05
184,ES,Eversource,Utilities,Electric Utilities,2009-07-24
185,EXC,Exelon,Utilities,Electric Utilities,1957-03-04
186,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2007-10-02
187,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2007-10-10
188,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2016-01-19
189,XOM,ExxonMobil,Energy,Integrated Oil & Gas,1957-03-04
190,FFIV,"F5, Inc.",Information Technology,Communications Equipment,2010-12-20
191,FDS,FactSet,Financials,Financial Exchanges & Data,2021-12-20
192,FICO,Fair Isaac,Information Technology,Application Software,2023-03-20
193,FAST,Fastenal,Industrials,Trading Companies & Distributors,2008-09-15
194,FRT,Federal Realty,Real Estate,Retail REITs,2016-02-01
195,FDX,FedEx,Industrials,Air Freight & Logistics,1980-12-31
196,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,2006-11-10
197,FITB,Fifth Third Bank,Financials,Diversified Banks,1996-03-29
198,FSLR,First Solar,Information Technology,Semiconductors,2022-12-19
199,FE,FirstEnergy,Utilities,Electric Utilities,1997-11-28
200,FI,Fiserv,Financials,Transaction & Payment Processing Services,2001-04-02
201,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,2009-08-19
202,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1957-03-04
203,FTNT,Fortinet,Information Technology,Systems Software,2018-10-11
